source,id,description,severity,action
suricata,10.10.1.185,Заблокирован: 549 алертов,high,blocked
suricata,10.250.250.251,Заблокирован: 513 алертов,high,blocked
suricata,10.10.3.55,Заблокирован: 506 алертов,high,blocked
suricata,67.207.202.9,Заблокирован: 496 алертов,high,blocked
suricata,10.47.26.81,Заблокирован: 479 алертов,high,blocked
suricata,10.10.6.83,Заблокирован: 476 алертов,high,blocked
suricata,10.190.250.232,Заблокирован: 470 алертов,high,blocked
suricata,10.47.8.152,Заблокирован: 458 алертов,high,blocked
suricata,10.133.133.175,Заблокирован: 458 алертов,high,blocked
suricata,10.47.6.59,Заблокирован: 448 алертов,high,blocked
suricata,10.128.0.220,Заблокирован: 446 алертов,high,blocked
suricata,10.247.248.32,Заблокирован: 446 алертов,high,blocked
suricata,10.47.8.20,Заблокирован: 425 алертов,high,blocked
suricata,10.128.18.12,Заблокирован: 424 алертов,high,blocked
suricata,10.192.0.1,Заблокирован: 420 алертов,high,blocked
suricata,10.200.150.18,Заблокирован: 416 алертов,high,blocked
suricata,10.185.222.35,Заблокирован: 412 алертов,high,blocked
suricata,10.128.0.222,Заблокирован: 397 алертов,high,blocked
suricata,10.252.181.251,Заблокирован: 396 алертов,high,blocked
suricata,10.47.3.1,Заблокирован: 391 алертов,high,blocked
suricata,10.10.6.82,Заблокирован: 390 алертов,high,blocked
suricata,10.10.8.214,Заблокирован: 385 алертов,high,blocked
suricata,10.218.92.73,Заблокирован: 385 алертов,high,blocked
suricata,10.189.196.244,Заблокирован: 380 алертов,high,blocked
suricata,10.128.0.218,Заблокирован: 379 алертов,high,blocked
suricata,10.47.24.80,Заблокирован: 376 алертов,high,blocked
suricata,10.10.6.9,Заблокирован: 374 алертов,high,blocked
suricata,10.182.162.42,Заблокирован: 368 алертов,high,blocked
suricata,10.192.0.125,Заблокирован: 362 алертов,high,blocked
suricata,10.47.6.173,Заблокирован: 355 алертов,high,blocked
suricata,10.10.8.55,Заблокирован: 353 алертов,high,blocked
suricata,10.47.7.155,Заблокирован: 353 алертов,high,blocked
suricata,10.10.2.187,Заблокирован: 343 алертов,high,blocked
suricata,10.128.0.201,Заблокирован: 332 алертов,high,blocked
suricata,10.47.43.10,Заблокирован: 326 алертов,high,blocked
suricata,10.208.182.251,Заблокирован: 325 алертов,high,blocked
suricata,172.16.16.14,Заблокирован: 319 алертов,high,blocked
suricata,172.16.15.14,Заблокирован: 312 алертов,high,blocked
suricata,10.47.27.55,Заблокирован: 301 алертов,high,blocked
